PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-23,13:45:31,NA,NA,NA,NA,Undefined,GRA_CAN,"Toney, Brock",807930,Right,GRA_CAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,51.68511,0.339743,-0.42577,1247.37069,160.629323,11:15:00,4.66007,0.08621,31.3992,-21.16328,5.98197,-1.92988,3.06066,-0.28039,49.4763,-7.074494,-1.091566,0.374989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37662,11.67772,-0.16839,50,3.6355,0.01491,-78.34755,7.16218,2.10044,9.82661,-24.9099,GRA_CAN,NA,BrazellField,NA,NA,20251023-BrazellField-BP-2,375719a0-b051-11f0-8b49-37f273f5c224,100.51615,NA,NA,2.20881,NA,NA,NA,NA,NA,NA,89c32431-b53f-452f-8f75-0b195336f1bb,2025-10-23,20:45:31,2025-10-23T20:45:31Z,2025-10-23T20:45:31Z,NA,v3,5310,NA,NA,NA,NA,Undefined,GRA_CAN,4faa55ce-1f22-40ef-bad9-9ad918c22bea,29.10299,-75.6812,4.9133,4.66188,0.40315,-12.45495,-0.08702,0.58485,1.05022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-10-23,13:46:25,NA,NA,NA,NA,Undefined,GRA_CAN,"Toney, Brock",807930,Right,GRA_CAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,51.70931,0.051403,-0.602919,1193.422361,175.741924,11:45:00,4.66164,0.08291,31.27628,-21.9343,5.2837,-0.35992,2.85873,-0.23978,49.80562,-7.571206,-0.726583,0.375491,57.31715,50.651339,115.619945,3711.917182,NA,NA,NA,NA,30.73714,NA,NA,0.51126,10.18587,-0.28701,50,3.71266,0.71344,-78.23413,7.00207,0.31945,9.11416,-25.80945,GRA_CAN,NA,BrazellField,NA,NA,20251023-BrazellField-BP-2,5770b890-b051-11f0-8b49-37f273f5c224,100.38172,34.21019,NA,1.90369,NA,NA,NA,0.70215,2.73438,0.16578,89c32431-b53f-452f-8f75-0b195336f1bb,2025-10-23,20:46:25,2025-10-23T20:46:25Z,2025-10-23T20:46:25Z,NA,v3,5310,NA,NA,NA,NA,Undefined,GRA_CAN,618579e2-bee4-4a7e-8739-ae3d89a6a926,29.22873,-75.77568,4.55708,4.66245,0.04024,-12.90472,-0.08295,0.7996,0.15972,319.966387,0.70215,-23.04724,-2.90064,1.18364,0.02519,-0.81574,0.73569,0.4206,-0.64971,2.73438,65.00765,-23.04085,2.2106,-0.43493,0.12088,-0.12033,0.1073,-0.03911,0.16578,48.0599,-6.66275,1.62113,-0.09815,-0.51524,0.43487,0.35995,-0.47447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-10-23,13:47:38,NA,NA,NA,NA,Undefined,GRA_CAN,"Toney, Brock",807930,Right,GRA_CAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,49.97677,0.262486,0.002537,1202.575389,161.038109,11:15:00,4.63878,0.07466,31.24005,-25.59041,3.49831,-1.05146,2.63384,-0.01173,48.44903,-8.58188,-0.358458,0.388181,95.45563,20.954527,29.790407,1148.867145,93.00503,35.71761,58.73715,340.84622,330.22009,38.939892,3.628879,1.95441,6.7652,-0.03072,50,3.45792,-0.31753,-75.44977,8.17165,1.14402,7.85175,-28.21405,GRA_CAN,NA,BrazellField,NA,NA,20251023-BrazellField-BP-2,831fbc20-b051-11f0-8b49-37f273f5c224,97.10029,44.00384,NA,1.52775,NA,NA,NA,2.81611,3.02613,0.04353,89c32431-b53f-452f-8f75-0b195336f1bb,2025-10-23,20:47:38,2025-10-23T20:47:38Z,2025-10-23T20:47:38Z,LineDrive,v3,5310,NA,NA,NA,NA,Undefined,GRA_CAN,54719db3-2f24-4e70-8153-59775757ffeb,29.26565,-73.26027,3.92587,4.63966,0.30399,-14.10702,-0.07478,0.00149,0.57201,NA,2.81536,113.4918,-20.4298,4.89191,-1.37165,0.43677,-0.12287,0.02093,-0.00147,3.02689,50.04161,-16.32877,0.41757,0.3766,-0.26643,0.09469,-0.01656,0.00113,0.04345,64.9571,-0.67482,-0.8888,0.28153,-0.01978,-0.01211,0.00371,-3.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-10-23,13:47:50,NA,NA,NA,NA,Undefined,GRA_CAN,"Toney, Brock",807930,Right,GRA_CAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,49.63724,-0.021847,-0.128859,1135.202103,191.085632,12:15:00,4.66588,0.07442,31.28447,-25.58285,3.90402,0.67165,2.52337,0.06785,48.00914,-8.882082,0.102173,0.390828,81.99066,-0.731072,47.284364,4519.995696,NA,NA,NA,40.57132,39.41021,45.538942,0.332826,-1.2824,7.61556,-0.14863,50,3.58603,0.36822,-75.09365,7.74988,-0.73903,8.30768,-27.78527,GRA_CAN,NA,BrazellField,NA,NA,20251023-BrazellField-BP-2,8a09e830-b051-11f0-8b49-37f273f5c224,96.44251,2.93849,NA,1.6281,NA,NA,NA,3.25661,2.93849,-0.02861,89c32431-b53f-452f-8f75-0b195336f1bb,2025-10-23,20:47:50,2025-10-23T20:47:50Z,2025-10-23T20:47:50Z,GroundBall,v3,5310,NA,NA,NA,NA,Undefined,GRA_CAN,14147095-df7d-4a43-81d8-0e6fb429e725,29.22112,-72.75856,4.15384,4.66676,-0.0599,-13.89264,-0.07433,0.1605,-0.36951,NA,3.26064,81.40674,-17.52854,NA,NA,NA,NA,NA,NA,2.94303,-1.71591,-21.45219,NA,NA,NA,NA,NA,NA,-0.03037,88.41692,-3.95931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-23,13:48:38,NA,NA,NA,NA,Undefined,GRA_CAN,"Toney, Brock",807930,Right,GRA_CAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,49.75273,0.089172,-0.708301,1092.571936,160.606318,11:15:00,4.63835,0.07565,31.31266,-25.48805,3.78563,-1.1691,2.55758,-0.36519,48.14242,-8.746269,-1.110708,0.389413,87.56934,-0.890433,35.514571,3247.273978,NA,NA,NA,39.25953,37.45911,36.42459,0.304223,1.99788,7.43004,-0.28511,50,3.51802,0.58255,-75.21976,7.90658,1.15714,8.19201,-27.87065,GRA_CAN,NA,BrazellField,NA,NA,20251023-BrazellField-BP-2,a6ec29e0-b051-11f0-a6e6-63b3675b6006,96.79302,2.75543,NA,1.61031,NA,NA,NA,1.5137,2.75543,0.50664,89c32431-b53f-452f-8f75-0b195336f1bb,2025-10-23,20:48:38,2025-10-23T20:48:38Z,2025-10-23T20:48:38Z,GroundBall,v3,5310,NA,NA,NA,NA,Undefined,GRA_CAN,9ba41410-0bd2-46fb-989f-e2468ba80b1f,29.19274,-72.91849,4.09601,4.63941,0.07724,-13.93533,-0.0758,0.90761,0.57857,NA,1.5159,104.43367,-18.36207,NA,NA,NA,NA,NA,NA,2.75891,-2.14797,-22.7855,NA,NA,NA,NA,NA,NA,0.50431,74.70202,0.89402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
