PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-02,15:00:08,1,1,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Ahern, Garrett",821903,Left,GRA_CAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.5687,-2.146322,-3.109671,2343.076067,222.860426,01:30:00,5.79063,2.17665,5.40017,-18.78056,17.15643,14.73363,2.21043,0.48762,81.02535,-5.687051,-0.49328,0.431462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.31296,9.63406,-1.90977,50,5.58624,6.36433,-129.62138,-5.47491,-14.00576,29.55292,-15.94247,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,29b0eb40-9fdb-11f0-85e9-e9560c876798,87.35988,NA,NA,8.54335,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:00:08,2025-10-02T22:00:08Z,2025-10-02T22:00:08Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,fe63f28f-e66f-4007-839c-21fbb4fd2afd,55.09628,-130.77814,14.77646,5.78833,-4.8509,-7.97123,-2.16961,6.91254,-7.00288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-10-02,15:00:26,1,2,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Ahern, Garrett",821903,Left,GRA_CAN,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.85937,-1.964309,-4.187635,1960.88064,242.339933,02:00:00,5.39398,2.42066,5.16254,-31.32451,9.8352,16.1404,0.9291,-0.1828,76.62367,-7.696429,-1.336215,0.46175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.24776,5.86666,-2.04235,50,5.18648,8.18455,-121.30503,-5.28769,-13.7442,24.2966,-23.4549,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,3462f4c0-9fdb-11f0-85e9-e9560c876798,81.62945,NA,NA,7.2357,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:00:26,2025-10-02T22:00:26Z,2025-10-02T22:00:26Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,fadea3aa-6508-4cbd-b9f1-1371acc45bab,55.3363,-122.36919,12.1483,5.39558,-4.26039,-11.72745,-2.414,8.78653,-6.8721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-10-02,15:00:48,1,3,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Ahern, Garrett",821903,Left,GRA_CAN,Undefined,1,Top,0,2,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.13931,1.526169,-1.314859,2286.455922,67.948094,08:15:00,5.45734,2.44121,5.0176,-44.20014,-0.36870000000000003,-4.25004,3.21503,0.84594,74.38419,-6.48923,-2.065325,0.476501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7365,-0.16358,-2.31166,50,5.56804,2.88423,-117.69651,1.49398,2.43857,22.09697,-32.40375,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,413434c0-9fdb-11f0-85e9-e9560c876798,79.10246,NA,NA,6.75512,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:00:48,2025-10-02T22:00:48Z,2025-10-02T22:00:48Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,4bbdb3f6-ad3b-49f4-a86d-7d70ca5a9dd5,55.48119,-118.72112,11.04848,5.46394,2.9965,-16.20188,-2.44278,2.77116,1.21929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-10-02,15:01:08,1,4,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Ahern, Garrett",821903,Left,GRA_CAN,Undefined,1,Top,0,3,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.79764,-0.249536,-2.629915,2454.490613,66.135439,08:15:00,5.49713,2.32567,5.16206,-43.70329,-0.52941,-4.36323,1.62007,-0.51501,74.90805,-8.172978,-3.402195,0.472914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40004,0.25063,-2.07671,50,5.44048,5.63093,-118.55435,-2.1194,1.98264,23.72008,-31.81911,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,4d0012b0-9fdb-11f0-85e9-e9560c876798,79.70257,NA,NA,6.88959,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:01:08,2025-10-02T22:01:08Z,2025-10-02T22:01:08Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,23866564-dfdc-4b31-8c5d-d03d4e96aeae,55.33633,-119.61727,11.86004,5.50351,-0.69356,-15.90956,-2.32705,5.54209,0.99132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-02,15:01:27,1,5,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Ahern, Garrett",821903,Left,GRA_CAN,Undefined,1,Top,0,3,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.15656,-1.853694,-5.002582,1965.051792,251.213307,02:15:00,5.27787,2.52381,5.34325,-33.25931,7.41374,17.7882,0.76013,-0.69852,76.88216,-7.941648,-1.854025,0.459013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.37008,4.6487,-2.08515,50,5.08641,9.89437,-121.65296,-5.12679,-15.49625,24.50091,-25.22737,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,58c47690-9fdb-11f0-85e9-e9560c876798,82.1163,NA,NA,7.2744,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:01:27,2025-10-02T22:01:27Z,2025-10-02T22:01:27Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,54a1adc0-ce4a-46e4-9509-6b608b4fb1ca,55.15624,-122.68702,12.25045,5.28032,-4.06206,-12.61368,-2.51655,10.548400000000001,-7.74813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-10-02,15:01:49,1,6,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Ahern, Garrett",821903,Left,GRA_CAN,Undefined,1,Top,0,3,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,1,0,NA,90.47488,-1.411177,-3.706011,2395.883165,221.123893,01:15:00,5.73303,2.20964,5.41721,-17.91249,17.3017,14.01426,2.91534,-0.099030000000000007,81.72918,-4.801277,-1.219688,0.427101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.14059,9.47485,-1.88995,50,5.59535,7.8288,-130.9055,-3.80901,-13.9882,30.14559,-15.89315,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,65670570-9fdb-11f0-85e9-e9560c876798,88.2519,NA,NA,8.74571,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:01:49,2025-10-02T22:01:49Z,2025-10-02T22:01:49Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,8dc0c49c-0363-4fff-a6cd-4dc7b8399c97,55.07919,-132.06998,15.0728,5.73063,-3.19508,-7.94657,-2.2028,8.36915,-6.9941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-10-02,15:02:16,2,1,"Gregory, Billy",1000396783,Right,GRA_CAN,"Alexander, Aspen",1000342226,Right,GRA_CAN,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.48346,-0.379244,-3.885745,2083.685443,230.070939,01:45:00,5.3763,2.57329,5.27193,-26.00789,14.50123,15.64706,2.85192,0.22171,76.53441,-5.217594,-1.11767,0.458087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.91079,7.76646,-2.22945,50,5.32292,7.60881,-122.23932,-1.68626,-13.38952,25.65122,-20.50398,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,75a9c580-9fdb-11f0-85e9-e9560c876798,82.28231,NA,NA,7.94905,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:02:16,2025-10-02T22:02:16Z,2025-10-02T22:02:16Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,54fd33b1-736d-444f-9693-54fc25a0723a,55.22412,-123.3307,12.82561,5.37611,-0.81388,-10.25199,-2.5653,8.17849,-6.69476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-10-02,15:02:37,2,2,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Alexander, Aspen",1000342226,Right,GRA_CAN,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,83.84845,-0.811417,-3.791413,2067.14734,249.875859,02:15:00,5.29386,2.4449,5.20197,-33.27502,7.89654,17.70855,1.75606,0.34948,76.26891,-6.914547,-0.658768,0.461817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.9006,4.60902,-2.10712,50,5.19381,7.26454,-121.36014,-2.91824,-14.67795,25.06849,-25.34104,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,82058760-9fdb-11f0-85e9-e9560c876798,81.61769,NA,NA,7.57954,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:02:37,2025-10-02T22:02:37Z,2025-10-02T22:02:37Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,15eed32c-391e-4b04-958e-2181bd6e31b5,55.29573,-122.44916,12.53425,5.29667,-1.81739,-12.67052,-2.43656,7.90218,-7.33897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-10-02,15:02:57,2,3,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Alexander, Aspen",1000342226,Right,GRA_CAN,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.83147,-1.304578,-4.210826,2235.06355,67.946606,08:15:00,5.40967,2.32012,5.12981,-44.52715,-0.46197,-4.37209,0.46691,-2.01706,74.86762,-9.309357,-4.982173,0.477771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05693,0.49689,-1.9207,50,5.25218,8.79727,-117.05267,-4.28236,1.47134,21.39418,-31.48233,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,8e484300-9fdb-11f0-85e9-e9560c876798,78.89235,NA,NA,5.96385,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:02:57,2025-10-02T22:02:57Z,2025-10-02T22:02:57Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,4d50d48f-5507-4d58-a94d-a63dc204bda5,55.37067,-118.03021,10.69709,5.41499,-2.84388,-15.74117,-2.32112,8.73004,0.73567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-10-02,15:03:27,2,4,"Penzkover, Gunnar",830833,Right,GRA_CAN,"Alexander, Aspen",1000342226,Right,GRA_CAN,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.04417,-1.358624,-4.268003,2282.260238,219.257989,01:15:00,5.80687,2.24892,5.33628,-19.03434,17.24363,13.09642,2.94225,-0.67129,80.94548,-4.933343,-1.950898,0.433504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.75162,9.37741,-1.8727,50,5.67063,9.01374,-128.82375,-3.69036,-12.99022,27.45592,-16.45938,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,a060fb90-9fdb-11f0-85e9-e9560c876798,86.94835,NA,NA,8.09869,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:03:27,2025-10-02T22:03:27Z,2025-10-02T22:03:27Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,a4bc034c-08ea-4318-ad79-8986c08fd935,55.16084,-129.91901,13.72796,5.80475,-3.03377,-8.22969,-2.24261,9.53194,-6.49511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
