PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-25,10:49:01,1,1,"Guerrero, JT",833476,Right,GRA_CAN,"Chacon, Dom",805729,Left,GRA_CAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.30968,-1.904996,-2.965104,2180.869004,223.515365,01:30:00,5.89238,1.65584,5.83009,-18.58438,18.10969,15.85678,2.56985,0.21853,79.15655,-5.465479,-0.126024,0.435983,73.72014,-11.381872,49.435458,NA,NA,NA,NA,14.20953,14.20953,41.218602,0.121753,-9.12461,10.29638,-1.4232,50,5.72602,5.94717,-127.82603,-4.79473,-14.78246,31.46904,-15.49325,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,e41d7010-b1ca-11f0-bc5c-a3ba38c20386,86.45395,2.71965,NA,9.15313,NA,NA,NA,2.51926,2.71965,-0.30781,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:49:01,2025-10-25T17:49:01Z,2025-10-25T17:49:01Z,GroundBall,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,d5c89d7b-c2a1-49b9-b54c-7f2615692b6e,54.66688,-128.96984,15.73452,5.89006,-4.2316,-7.74662,-1.64913,6.48447,-7.39123,250.998858,2.51953,68.89992,-14.85044,NA,NA,NA,NA,NA,NA,2.71964,-21.33603,-8.24135,NA,NA,NA,NA,NA,NA,-0.30768,80.50963,-8.87537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,221.056761,-7.025852,2164.492995,0.992491,01:15:00,0.105014,-0.647448,-0.75484,-44.831299,13.846049,70.363846,-0.38889,155.797638,-0.840306,-22.190685,0.840306,-0.37769,0.38889,24.83449,-22.88545,0.37769,-0.37769,-155.797638,22.88545,0.38889,22.190685,-24.83449,-0.38889,0.37769,0.840306,-0.840306
2,2025-10-25,10:49:33,1,2,"Guerrero, JT",833476,Right,GRA_CAN,"Chacon, Dom",805729,Left,GRA_CAN,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.50005,1.811212,-2.057562,2006.484329,264.311669,02:45:00,5.6081,2.07899,5.74329,-46.504,3.51481,17.36761,3.4208,1.60971,68.23143,-6.798845,1.050296,0.509024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.37548,1.81158,-1.91807,50,5.73109,3.26697,-109.40481,2.0261,-11.19937,21.90061,-30.01007,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,f79e9240-b1ca-11f0-bc5c-a3ba38c20386,74.04849,NA,NA,7.26861,NA,NA,NA,NA,NA,NA,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:49:33,2025-10-25T17:49:33Z,2025-10-25T17:49:33Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,22b9e17f-afef-4be7-9555-0dc6d459755a,54.75297,-110.35216,10.95031,5.61537,3.32424,-15.00504,-2.06987,3.75141,-5.59969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,260.028689,-37.405042,1593.873235,0.794361,02:45:00,0.577101,-0.80117,-0.15837,-54.022529,17.350052,49.534136,0.384215,168.955918,-0.906145,10.186942,0.906145,-0.17686,-0.384215,22.977427,22.594993,0.17686,0.17686,-168.955918,-22.594993,0.384215,-10.186942,-22.977427,-0.384215,-0.17686,0.906145,-0.906145
3,2025-10-25,10:49:49,1,3,"Guerrero, JT",833476,Right,GRA_CAN,"Chacon, Dom",805729,Left,GRA_CAN,Undefined,1,Top,0,1,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.72268,-0.010675,-1.219403,2131.249304,230.614805,01:45:00,5.84634,1.787,5.78588,-21.493,14.88851,16.44611,4.04532,2.02289,79.33982,-4.099516,1.726289,0.434122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.66142,7.96036,-1.69583,50,5.83282,1.99264,-128.54143,-0.68761,-14.17526,32.066,-19.14611,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,00b56250-b1cb-11f0-bc5c-a3ba38c20386,86.82454,NA,NA,9.38286,NA,NA,NA,NA,NA,NA,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:49:49,2025-10-25T17:49:49Z,2025-10-25T17:49:49Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,213161cd-9ef1-4573-9695-cd5ea5953337,54.70722,-129.71038,16.033,5.84516,0.01036,-9.57305,-1.77788,2.50939,-7.08763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,220.831951,-3.188045,2127.950962,0.998452,01:15:00,0.039645,-0.65282,-0.756475,-43.461458,16.073864,61.399968,-0.353415,159.793663,-0.877893,-18.85123,0.877893,-0.323112,0.353415,21.92835,-20.696361,0.323112,-0.323112,-159.793663,20.696361,0.353415,18.85123,-21.92835,-0.353415,0.323112,0.877893,-0.877893
4,2025-10-25,10:50:06,1,4,"Guerrero, JT",833476,Right,GRA_CAN,"Chacon, Dom",805729,Left,GRA_CAN,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.57323,-0.458188,-1.080906,2228.726161,216.706875,01:15:00,5.78113,2.00289,5.87395,-15.8645,20.27222,14.13997,4.03344,2.17716,79.68586,-3.530243,1.455631,0.432659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.49024,10.83989,-1.92324,50,5.73487,1.80143,-128.44306,-1.4402,-12.3237,30.35681,-14.33924,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,0adeb3d0-b1cb-11f0-bc5c-a3ba38c20386,87.1181,NA,NA,8.88736,NA,NA,NA,NA,NA,NA,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:50:06,2025-10-25T17:50:06Z,2025-10-25T17:50:06Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,735921e6-f6f9-4cad-9287-3f7712c7a8bf,54.62059,-129.5305,15.17841,5.77726,-0.92653,-7.16962,-1.99568,2.2429,-6.16185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,221.747797,-4.388049,2222.19317,0.997069,01:30:00,0.06777,-0.663268,-0.745307,-43.814307,-22.467325,-6.303502,-0.043753,171.046153,-0.986868,-8.945202,0.986868,-0.15549,0.043753,2.538539,-2.507644,0.15549,-0.15549,-171.046153,2.507644,0.043753,8.945202,-2.538539,-0.043753,0.15549,0.986868,-0.986868
5,2025-10-25,10:50:25,1,5,"Guerrero, JT",833476,Right,GRA_CAN,"Chacon, Dom",805729,Left,GRA_CAN,Undefined,1,Top,0,3,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.95478,-1.299053,-1.99189,2152.21662,220.023456,01:15:00,5.9969,1.58736,5.81728,-20.01907,17.19623,13.18268,3.11987,0.83314,78.30004,-5.136159,0.370066,0.439068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45449,9.66178,-1.43223,50,5.87906,3.86341,-127.3235,-3.4756,-11.88905,33.06661,-16.76466,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,16acdbb0-b1cb-11f0-bc5c-a3ba38c20386,85.84641,NA,NA,9.65475,NA,NA,NA,NA,NA,NA,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:50:25,2025-10-25T17:50:25Z,2025-10-25T17:50:25Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,9f0abebd-cfd7-46ac-b0a4-a157c13327ad,54.67799,-128.53266,16.5333,5.99494,-2.86256,-8.38233,-1.58146,4.29816,-5.94452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,215.61024,-5.763351,2141.337477,0.994945,01:15:00,0.085344,-0.5769,-0.812344,-39.453584,10.271832,71.316016,-0.361832,156.895941,-0.857472,-21.457712,0.857472,-0.365814,0.361832,22.878551,-21.212745,0.365814,-0.365814,-156.895941,21.212745,0.361832,21.457712,-22.878551,-0.361832,0.365814,0.857472,-0.857472
6,2025-10-25,10:50:48,1,6,"Guerrero, JT",833476,Right,GRA_CAN,"Chacon, Dom",805729,Left,GRA_CAN,Undefined,1,Top,0,3,2,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,89.43413,-4.204637,-3.846753,2256.640658,209.853791,01:00:00,5.91684,1.54289,5.97818,-14.70036,20.97348,11.25461,0.77838,-1.09045,80.4875,-7.050776,-1.829777,0.429879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.94874,12.46753,-1.24418,50,5.57489,8.18503,-129.08038,-9.87236,-11.5352,30.89929,-11.47743,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,24238370-b1cb-11f0-bc5c-a3ba38c20386,87.68148,NA,NA,8.94663,NA,NA,NA,NA,NA,NA,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:50:48,2025-10-25T17:50:48Z,2025-10-25T17:50:48Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,f4422e6e-2b15-4edf-85fe-7eaacfdb7a1e,54.515860000000004,-130.1569,15.44965,5.91187,-9.47249,-5.73871,-1.53634,8.58691,-5.7676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,218.211788,-8.374294,2232.579848,0.989338,01:15:00,0.137537,-0.59965,-0.788355,-40.251823,7.078783,73.727481,-0.319096,152.611501,-0.84149,-25.847205,0.84149,-0.435973,0.319096,20.766922,-18.60828,0.435973,-0.435973,-152.611501,18.60828,0.319096,25.847205,-20.766922,-0.319096,0.435973,0.84149,-0.84149
7,2025-10-25,10:51:19,2,1,"Guerrero, JT",833476,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,89.82942,-1.021284,-2.630908,2277.707887,201.301984,12:45:00,5.92438,1.73477,5.93292,-13.74076,21.72481,7.92437,3.83071,-0.04746,80.00171,-3.730769,-1.209893,0.428622,87.20061,69.430486,-26.021209,NA,NA,NA,NA,NA,43.89354,NA,NA,-4.98563,11.87505,-1.52906,50,5.83528,5.63129,-130.03414,-2.6466,-8.31539,33.84422,-12.36796,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,36cc6e10-b1cb-11f0-bc5c-a3ba38c20386,87.93861,121.4109,NA,9.82771,NA,NA,NA,1.36827,4.02957,-0.89415,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:51:19,2025-10-25T17:51:19Z,2025-10-25T17:51:19Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,f8af0222-87df-460e-8672-46485880d72f,54.56188,-131.2161,16.92211,5.92016,-2.21467,-6.18398,-1.73079,5.92169,-4.1577,NA,1.36827,40.37959,-14.48069,4.44504,-1.05798,0.15336,0.04975,-0.0401,0.00817,4.02957,119.7404,-28.07289,3.48405,-0.67924,0.15615,-0.05872,0.02036,-0.00337,-0.89415,-19.71302,3.81297,-1.00592,0.21741,-0.03478,-0.00459,0.0053,-0.00113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,217.769436,-7.601538,2257.691365,0.991212,01:15:00,0.106966,-0.604649,-0.789277,-42.207399,4.198096,63.092541,-0.279492,153.291021,-0.857701,-25.56579,0.857701,-0.431547,0.279492,18.048783,-16.229865,0.431547,-0.431547,-153.291021,16.229865,0.279492,25.56579,-18.048783,-0.279492,0.431547,0.857701,-0.857701
8,2025-10-25,10:51:53,3,1,"Guerrero, JT",833476,Right,GRA_CAN,"Anderson, Dillon",1000314379,Left,GRA_CAN,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.68427,-2.798221,-3.976751,2290.826301,209.67579,01:00:00,5.84148,1.87602,5.94925,-12.2978,22.55367,12.06276,2.21303,-0.81305,80.95913,-5.23571,-1.817255,0.424895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.47646,12.84627,-1.56558,50,5.61124,8.56491,-130.97883,-6.67819,-12.69589,33.46239,-10.35961,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,4aba82e0-b1cb-11f0-bc5c-a3ba38c20386,88.70994,NA,NA,9.72514,NA,NA,NA,NA,NA,NA,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:51:53,2025-10-25T17:51:53Z,2025-10-25T17:51:53Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,127c6174-af95-4875-818a-5f75e9cdde6d,54.54436,-132.13472,16.73119,5.83574,-6.32033,-5.17981,-1.86901,9.00347,-6.34795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,218.482605,-7.690216,2270.222758,0.991006,01:15:00,0.109569,-0.609412,-0.785246,-34.534044,13.686966,71.767285,-0.26299,159.183969,-0.901822,-20.051155,0.901822,-0.342859,0.26299,16.257793,-15.247575,0.342859,-0.342859,-159.183969,15.247575,0.26299,20.051155,-16.257793,-0.26299,0.342859,0.901822,-0.901822
9,2025-10-25,10:52:09,3,2,"Guerrero, JT",833476,Right,GRA_CAN,"Anderson, Dillon",1000314379,Left,GRA_CAN,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.001,-2.220605,-2.434693,2278.508657,201.355482,12:45:00,5.90533,1.8606,6.02193,-14.41347,20.668,7.55347,2.64457,0.23365,80.61724,-5.035664,-1.07737,0.426295,82.51031,82.213055,-129.981623,4431.351245,NA,NA,NA,NA,18.51848,NA,NA,-4.73721,11.79225,-1.67408,50,5.7237,5.22395,-130.32976,-5.42179,-7.96985,32.97393,-12.3349,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,545f6220-b1cb-11f0-bc5c-a3ba38c20386,88.41867,85.445,NA,9.38375,NA,NA,NA,2.99634,2.39868,-0.16527,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:52:09,2025-10-25T17:52:09Z,2025-10-25T17:52:09Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,33e81a5c-3190-400a-b2d9-ebd6209a68c6,54.47478,-131.45702,16.48697,5.90185,-5.00011,-6.16745,-1.85733,5.49641,-3.98492,4.65699,2.99634,-10.53531,-12.37461,5.98059,-1.9493,0.56345,-0.14774,0.03025,-0.00321,2.39868,119.89901,-37.29609,5.9612,-1.12727,0.16214,-0.00148,-0.01424,0.00491,-0.16527,-12.56367,-1.55754,1.24444,-0.46647,0.14688,-0.04219,0.01016,-0.00145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,216.320068,-3.853403,2273.35755,0.997739,01:15:00,0.05582,-0.587909,-0.806999,-40.591521,6.150083,68.028203,-0.352632,152.328505,-0.828734,-25.757896,0.828734,-0.434569,0.352632,23.050057,-20.648361,0.434569,-0.434569,-152.328505,20.648361,0.352632,25.757896,-23.050057,-0.352632,0.434569,0.828734,-0.828734
10,2025-10-25,10:52:29,3,3,"Guerrero, JT",833476,Right,GRA_CAN,"Anderson, Dillon",1000314379,Left,GRA_CAN,Undefined,1,Top,1,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,84.33122,-0.463764,-2.248082,2375.316549,125.504487,10:15:00,5.74619,2.03875,5.83239,-36.59506,3.22146,-2.59303,2.26518,-0.26805,76.62728,-7.225826,-2.712877,0.454154,91.77954,-9.4653,59.095024,NA,NA,NA,NA,17.16016,17.16016,49.700985,0.113918,0.62878,2.15059,-1.85366,50,5.68669,4.90456,-122.32285,-2.20941,0.94068,26.96227,-28.95658,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251025-BrazellField-Private-1,6066c270-b1cb-11f0-bc5c-a3ba38c20386,82.99487,2.52637,NA,7.70394,NA,NA,NA,3.31578,2.52637,0.08581,1577e54a-f54d-40c8-a661-6bd831703e22,2025-10-25,17:52:29,2025-10-25T17:52:29Z,2025-10-25T17:52:29Z,GroundBall,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,2b0fc4a5-f8fb-4780-a2a4-f508a3d713c0,54.66655,-123.34715,13.48113,5.74973,-1.10933,-14.47829,-2.03931,4.86883,0.47034,180,3.3135,68.32108,NA,NA,NA,NA,NA,NA,NA,2.52711,-22.17708,NA,NA,NA,NA,NA,NA,NA,0.08199,114.13371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,227.331711,88.251097,72.493173,0.030519,01:30:00,-0.999362,-0.03053,0.018531,-12.363836,50.18214,18.526526,-0.436413,135.781637,-0.644837,-38.864333,0.644837,-0.627478,0.436413,34.089394,-25.87525,0.627478,-0.627478,-135.781637,25.87525,0.436413,38.864333,-34.089394,-0.436413,0.627478,0.644837,-0.644837
