PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-03,14:58:07,1,1,"Ahern, Garrett",821903,Right,GRA_CAN,"Charles, Max",807283,Left,GRA_CAN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.98047,-0.802593,-3.456462,2086.50044,247.766127,02:15:00,5.43486,2.36204,5.55092,-27.32041,8.53311,18.04198,2.40678,0.63178,81.25292,-5.854789,-0.243426,0.43096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.05099,4.89095,-2.07481,50,5.34738,6.98946,-128.995,-2.78771,-16.9234,27.00937,-23.9389,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,0ba97120-a0a4-11f0-ab93-d3d7d90e7a19,87.4615,NA,NA,7.72756,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:58:07,2025-10-03T21:58:07Z,2025-10-03T21:58:07Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,8866a739-a9ee-4c4c-af86-e95c9ee03463,54.94807,-130.02691,13.50468,5.43641,-1.8731,-11.96945,-2.3542,7.63604,-8.4617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,244.550139,-6.766306,2071.967896,0.993035,02:15:00,0.104404,-0.894934,-0.433812,54.040935,56.206175,69.148868,0.977199,156.71832,-0.195035,4.814017,0.195035,-0.083922,-0.977199,78.712867,77.741394,0.083922,0.083922,-156.71832,-77.741394,0.977199,-4.814017,-78.712867,-0.977199,-0.083922,0.195035,-0.195035
2,2025-10-03,14:58:22,1,2,"Ahern, Garrett",821903,Right,GRA_CAN,"Charles, Max",807283,Left,GRA_CAN,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.16036,1.01763,-2.867269,1811.193691,280.745346,03:15:00,5.41886,2.18887,5.6442,-48.18841,-0.74284,11.79213,2.3537,0.4947,70.79815,-7.808055,-0.761329,0.495757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.7565,-0.17059,-1.95286,50,5.47479,5.15714,-111.95022,0.42728,-8.56871,20.3381,-32.39041,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,14c7e250-a0a4-11f0-ab93-d3d7d90e7a19,76.03001,NA,NA,6.36221,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:58:22,2025-10-03T21:58:22Z,2025-10-03T21:58:22Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,722b314f-eac3-461d-9ae4-b7932b6b2a72,54.85547,-112.82887,10.16905,5.4261,1.82662,-16.19521,-2.18366,5.52733,-4.28436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,281.861361,-34.943817,1484.66098,0.819714,03:30:00,0.566164,-0.812257,0.140342,11.37506,24.726951,83.325325,0.679806,93.85704,-0.049333,47.031689,0.049333,-0.731731,-0.679806,85.849346,42.828491,0.731731,0.731731,-93.85704,-42.828491,0.679806,-47.031689,-85.849346,-0.679806,-0.731731,0.049333,-0.049333
3,2025-10-03,14:58:38,1,3,"Ahern, Garrett",821903,Right,GRA_CAN,"Charles, Max",807283,Left,GRA_CAN,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.60353,-0.288746,-3.418436,1840.198783,283.613673,03:30:00,5.47533,2.08241,5.69522,-47.24388,-1.53508,12.35453,1.26877,-0.07753,72.23766,-8.924224,-1.209048,0.486599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.23461,-0.23122,-1.80274,50,5.42166,6.33658,-114.00732000000001,-2.12698,-9.50331,21.34031,-32.47779,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,1e6f59a0-a0a4-11f0-ab93-d3d7d90e7a19,77.46098,NA,NA,6.36586,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:58:38,2025-10-03T21:58:38Z,2025-10-03T21:58:38Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,3617c130-7c37-431d-956a-297c87b24eaa,54.80483,-114.90319,10.67016,5.48233,-0.76356,-16.23889,-2.07713,6.73553,-4.75165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,276.544628,-35.401002,1499.978545,0.815118,03:15:00,0.587871,-0.806876,0.057955,6.538971,21.795058,82.859899,0.703681,101.10739,-0.13688,44.203291,0.13688,-0.697206,-0.703681,78.992308,44.723104,0.697206,0.697206,-101.10739,-44.723104,0.703681,-44.203291,-78.992308,-0.703681,-0.697206,0.13688,-0.13688
4,2025-10-03,14:58:54,1,4,"Ahern, Garrett",821903,Right,GRA_CAN,"Charles, Max",807283,Left,GRA_CAN,Undefined,1,Top,0,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.16692,-0.900884,-4.330885,2341.709296,254.935153,02:30:00,5.44186,2.14253,5.45827,-29.60254,5.46425,16.13292,2.12922,-0.57473,82.45156,-6.336943,-1.466939,0.426206,33.75763,-2.25116,20.010958,NA,NA,NA,NA,37.18822,1.87966,21.946102,0.784817,-9.27666,3.35536,-1.77141,50,5.34208,9.15286,-130.57431,-3.17411,-16.02974,27.26777,-26.37612,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,27a6d110-a0a4-11f0-ab93-d3d7d90e7a19,88.43719,1.53725,NA,7.71536,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:58:54,2025-10-03T21:58:54Z,2025-10-03T21:58:54Z,GroundBall,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,c4a7888b-4d7f-4160-8e7e-80e85e4720f4,55.0407,-131.62274,13.63388,5.44463,-2.15996,-13.18806,-2.13519,9.7692,-8.01487,NA,-2.29334,46.81939,NA,NA,NA,NA,NA,NA,NA,1.53902,-1.95874,NA,NA,NA,NA,NA,NA,NA,0.50126,17.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,241.971311,10.435144,2302.978733,0.983461,02:00:00,-0.201872,-0.870853,-0.448177,8.329585,18.672767,55.229573,0.427555,134.615113,-0.634909,40.053033,0.634909,-0.643496,-0.427555,33.956818,25.312516,0.643496,0.643496,-134.615113,-25.312516,0.427555,-40.053033,-33.956818,-0.427555,-0.643496,0.634909,-0.634909
5,2025-10-03,14:59:10,1,5,"Ahern, Garrett",821903,Right,GRA_CAN,"Charles, Max",807283,Left,GRA_CAN,Undefined,1,Top,0,2,2,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.9416,-0.112271,-2.877884,2654.335411,77.736937,08:30:00,5.55848,2.09785,4.99266,-51.55755,-2.02102,-17.06761,1.15588,-2.04397,70.29673,-9.405661,-5.886372,0.506564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48524,-0.39996,-1.8064,50,5.50625,6.30165,-111.38386,-2.04516,9.27303,22.59678,-32.66955,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,31465920-a0a4-11f0-ab93-d3d7d90e7a19,74.40807,NA,NA,6.64488,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:59:10,2025-10-03T21:59:10Z,2025-10-03T21:59:10Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,82e1ee15-6c4e-405c-abb1-3976f1c3d5c1,55.50558,-112.49525,11.29839,5.56732,-0.43836,-16.33477,-2.10512,5.84557,4.63652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,47.900205,50.557563,1686.306396,0.635303,07:30:00,-0.750826,0.469867,0.464205,27.448167,47.300957,81.306784,-0.102911,97.677174,-0.132882,-80.32423,0.132882,-0.985775,0.102911,37.756182,-5.906837,0.985775,-0.985775,-97.677174,5.906837,0.102911,80.32423,-37.756182,-0.102911,0.985775,0.132882,-0.132882
6,2025-10-03,14:59:33,1,6,"Ahern, Garrett",821903,Right,GRA_CAN,"Charles, Max",807283,Left,GRA_CAN,Undefined,1,Top,0,3,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,79.44273,-0.048553,-3.432472,1959.228939,274.094506,03:15:00,5.48188,2.13087,5.62731,-44.30518,0.51311,12.6543,1.7444,-0.02129,72.94492,-8.155126,-1.173981,0.481836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.35957,0.72421,-1.84641,50,5.44939,6.4159,-115.21437,-1.57216,-9.88664,21.52402,-31.20114,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,3f18b570-a0a4-11f0-ab93-d3d7d90e7a19,78.22671,NA,NA,6.49781,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:59:33,2025-10-03T21:59:33Z,2025-10-03T21:59:33Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,8a3e00a8-ba16-4370-bfb9-817dc5a51a9c,54.87241,-116.12105,10.76201,5.48793,-0.25783,-15.60057,-2.12544,6.83237,-4.94332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,275.570205,-38.590521,1531.379717,0.781624,03:15:00,0.627832,-0.777404,0.038348,8.262413,17.211109,84.163496,0.721142,95.839734000000007,-0.070488,43.566149,0.070488,-0.689192,-0.721142,84.417329,46.148879,0.689192,0.689192,-95.839734000000007,-46.148879,0.721142,-43.566149,-84.417329,-0.721142,-0.689192,0.070488,-0.070488
7,2025-10-03,14:59:49,2,1,"Ahern, Garrett",821903,Right,GRA_CAN,"Peery, Cannon",821900,Right,GRA_CAN,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.89613,-1.268808,-2.951608,2089.527099,248.296804,02:15:00,5.44269,2.17213,5.58846,-28.1295,7.4676,16.08371,1.91202,0.75385,81.85879,-6.446043,-0.0826,0.429416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89056,4.44599,-1.92916,50,5.31531,5.94928,-129.02133,-3.87359,-15.0854,25.17989,-24.63012,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,4888c910-a0a4-11f0-ab93-d3d7d90e7a19,87.77595,NA,NA,7.03734,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,21:59:49,2025-10-03T21:59:49Z,2025-10-03T21:59:49Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,2a25aa5f-ce99-4b1f-9bed-06a4bc8f4d11,54.91146,-129.97632,12.58994,5.4445,-2.93945,-12.31506,-2.16565,6.52142,-7.5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,245.404527,-6.961511,2074.122676,0.992628,02:15:00,0.119698,-0.899661,-0.419861,45.644964,50.611151,57.820201,0.981858,141.36931,-0.148125,6.79841,0.148125,-0.118376,-0.981858,81.420958,79.069671,0.118376,0.118376,-141.36931,-79.069671,0.981858,-6.79841,-81.420958,-0.981858,-0.118376,0.148125,-0.148125
8,2025-10-03,15:00:05,2,2,"Ahern, Garrett",821903,Right,GRA_CAN,"Peery, Cannon",821900,Right,GRA_CAN,Undefined,1,Top,1,0,1,Sweeper,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.91889,0.886425,-0.481208,2627.184931,75.810507,08:30:00,5.59314,1.96938,4.94386,-52.11932,-2.41106,-16.57808,2.08766,0.13311,69.72234,-8.559351,-3.408483,0.507441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95024,-0.86949,-1.90856,50,5.63672,1.63256,-111.41334,-0.14462,9.8237,23.17943,-33.24844,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,51cee680-a0a4-11f0-ab93-d3d7d90e7a19,74.27943,NA,NA,7.19654,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,22:00:05,2025-10-03T22:00:05Z,2025-10-03T22:00:05Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,5f0db5b7-e88a-448a-ad67-2bcaed63b21a,55.55334,-112.56278,11.58971,5.60301,1.50412,-16.62422,-1.97743,1.14542,4.91185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,51.30197,52.902295,1584.655006,0.603176,07:45:00,-0.787035,0.483033,0.383739,122.947196,19.222907,-28.018557,-0.018529,94.557126,-0.079439,-85.321087,0.079439,-0.996667,0.018529,13.129436,-1.061703,0.996667,-0.996667,-94.557126,1.061703,0.018529,85.321087,-13.129436,-0.018529,0.996667,0.079439,-0.079439
9,2025-10-03,15:00:22,2,3,"Ahern, Garrett",821903,Right,GRA_CAN,"Peery, Cannon",821900,Right,GRA_CAN,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.04885,0.448693,-5.04268,2351.169312,222.356006,01:30:00,5.52076,2.10964,5.27313,-22.26537,14.04875,11.74009,4.08842,-1.66079,81.04904,-3.689995,-2.972905,0.43372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.31363,7.2491,-1.65699,50,5.54591,10.83643,-128.77626,0.22941,-12.27767,26.81497,-20.00468,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,5c09eb40-a0a4-11f0-ab93-d3d7d90e7a19,86.90504,NA,NA,7.99981,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,22:00:22,2025-10-03T22:00:22Z,2025-10-03T22:00:22Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,2c767b2a-f3f7-492b-92dc-e1252c0ee27a,55.22607,-129.85992,13.40748,5.52031,1.03785,-10.00234,-2.10494,11.33261,-6.13884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,240.749189,12.245225,2297.677357,0.977249,02:00:00,-0.259893,-0.850952,-0.456439,5.302198,17.594906,56.647986,0.313659,134.617619,-0.666927,42.52323,0.666927,-0.675889,-0.313659,25.187823,18.27988,0.675889,0.675889,-134.617619,-18.27988,0.313659,-42.52323,-25.187823,-0.313659,-0.675889,0.666927,-0.666927
10,2025-10-03,15:00:44,2,4,"Ahern, Garrett",821903,Right,GRA_CAN,"Peery, Cannon",821900,Right,GRA_CAN,Undefined,1,Top,1,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.89075,-0.194411,-4.107361,2271.957388,251.779673,02:30:00,5.39605,1.99825,5.28621,-29.86663,5.52177,13.4482,2.72413,-0.74472,82.36332,-5.661155,-1.728042,0.428156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.79977,3.15894,-1.63349,50,5.35653,8.73081,-130.22595,-1.59278,-13.44785,26.32122,-26.72758,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251003-BrazellField-Private-1,69272860-a0a4-11f0-ab93-d3d7d90e7a19,88.03436,NA,NA,7.52743,NA,NA,NA,NA,NA,NA,7460db7c-0ca7-4a43-bb55-a9acd54d2843,2025-10-03,22:00:44,2025-10-03T22:00:44Z,2025-10-03T22:00:44Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,dc9a1f35-62ef-4377-817b-73e826a71a83,55.21285,-131.27534,13.16061,5.39879,-0.52719,-13.36379,-1.99226,9.26696,-6.72393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,239.264121,20.479008,2128.370669,0.9368,02:00:00,-0.380531,-0.806393,-0.452688,3.035744,18.063214,41.997188,0.38067,136.097603,-0.666275,39.883155,0.666275,-0.641224,-0.38067,29.741121,22.375211,0.641224,0.641224,-136.097603,-22.375211,0.38067,-39.883155,-29.741121,-0.38067,-0.641224,0.666275,-0.666275
