PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2026-01-15,15:17:08,1,1,"McGuire, Tommy",837561,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.11063,-2.330371,-0.282105,2508.305233,204.845454,12:45:00,5.91837,0.99965,6.09703,-16.14276,18.88662,8.21048,2.41657,1.42294,81.27356,-5.419492,1.19755,0.425978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.28729,10.73871,-0.982,50,5.73023,0.29247,-129.35006,-5.69698,-7.24032,27.79097,-14.03867,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,eeac4e90-f25f-11f0-8f2d-39e75d6e7b88,88.48438,NA,NA,7.83707,NA,NA,NA,NA,NA,NA,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:17:08,2026-01-15T22:17:08Z,2026-01-15T22:17:08Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,14def534-018d-4856-8999-215c8d1e326e,54.39938,-130.29184,13.89549,5.91522,-5.22123,-7.01933,-0.99607,0.53783,-3.62016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,211.205463,40.536734,1906.285458,0.759989,01:00:00,-0.63658,-0.419859,-0.646904,-74.359167,-12.509891,-49.312832,-0.383706,165.277074,-0.893135,-13.573438,0.893135,-0.234691,0.383706,23.249203,-22.563443,0.234691,-0.234691,-165.277074,22.563443,0.383706,13.573438,-23.249203,-0.383706,0.234691,0.893135,-0.893135
2,2026-01-15,15:17:27,1,2,"McGuire, Tommy",837561,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.86588,-1.84323,-1.233057,2534.622373,200.782511,12:45:00,5.93647,1.00892,6.25345,-17.94832,16.14143,5.71823,2.74003,0.34818,82.27428,-5.256994,-0.19967,0.420226,63.96562,45.73275,-87.833382,4171.426444,NA,NA,NA,NA,71.97756,NA,NA,-3.31914,9.22654,-0.92012,50,5.79064,2.58137,-130.56965,-4.71301,-5.73164,27.41445,-16.24115,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,fa1a2e00-f25f-11f0-8f2d-39e75d6e7b88,89.69556,59.14024,NA,7.5916,NA,NA,NA,NA,NA,NA,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:17:27,2026-01-15T22:17:27Z,2026-01-15T22:17:27Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,2bf1f99f-1858-41d1-b77a-f43c51ebf15b,54.2452,-131.45795,13.70722,5.93483,-4.18676,-8.12057,-1.00678,2.76709,-2.86582,NA,0.57289,2.47567,-9.23005,2.10435,-0.43125,0.08262,0.00428,-0.02256,0.01081,24.87813,67.18094,-22.89506,2.65216,-0.58906,0.14423,-0.0678,0.04716,-0.01821,-26.10089,-65.43739,-10.97793,2.48215,-0.5063,0.10052,-0.00302,-0.01812,0.00917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,209.693469,45.608163,1773.124332,0.699562,01:00:00,-0.715971,-0.369339,-0.592431,-62.298244,-9.758483,-39.120972,-0.125893,155.07846,-0.89967,-24.70991,0.89967,-0.418024,0.125893,7.965836,-7.232352,0.418024,-0.418024,-155.07846,7.232352,0.125893,24.70991,-7.965836,-0.125893,0.418024,0.89967,-0.89967
3,2026-01-15,15:17:52,1,3,"McGuire, Tommy",837561,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.32511,-2.415457,-1.401389,2538.799885,110.295015,09:45:00,5.97544,0.98104,5.85345,-36.49648,2.75768,-4.2702,0.68775,-0.67718,78.0066,-9.090736,-2.168824,0.450935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82126,2.40197,-0.86465,50,5.7576,3.16205,-122.45138,-6.38925,2.77286,23.55969,-28.51706,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,08d3dd10-f260-11f0-8f2d-39e75d6e7b88,83.58726,NA,NA,6.31851,NA,NA,NA,NA,NA,NA,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:17:52,2026-01-15T22:17:52Z,2026-01-15T22:17:52Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,c236c0dd-5a4e-41bb-9faa-7374ed5c6210,54.64669,-123.34216,11.77984,5.97879,-5.31103,-14.25853,-0.98222,3.05721,1.38643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,80.701885,88.640071,60.253367,0.023733,08:45:00,-0.999424,-0.018733,0.028285,44.135788,-38.509286,-40.802203,0.564673,170.13478,-0.813111,8.128986,0.813111,-0.141402,-0.564673,34.778417,34.379582,0.141402,0.141402,-170.13478,-34.379582,0.564673,-8.128986,-34.778417,-0.564673,-0.141402,0.813111,-0.813111
4,2026-01-15,15:18:12,1,4,"McGuire, Tommy",837561,Right,GRA_CAN,"Cameron, Griffin",823123,Left,GRA_CAN,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,NA,90.12274,-1.669526,-0.885888,2576.82934,191.535555,12:30:00,5.99159,0.99927,6.29893,-16.3706,17.80469,3.39217,3.0885,0.46564,81.6405,-4.825375,-0.272337,0.420753,98.27223,21.587541,-10.911034,2352.99664,106.28659,36.86638,-28.33897,322.35467,320.05505,-21.535128,3.51225,-2.04087,10.12772,-0.93578,50,5.86099,1.88599,-130.84203,-4.24701,-3.49997,30.37313,-14.80571,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,1510a540-f260-11f0-8f2d-39e75d6e7b88,89.58324,44.26341,NA,8.48225,NA,NA,NA,0.69938,3.03944,-0.46977,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:18:12,2026-01-15T22:18:12Z,2026-01-15T22:18:12Z,LineDrive,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,2f7e9f2b-65b1-4bdd-8da4-9bf9b11d57ad,54.19829,-131.813,15.18657,5.9892,-3.7737,-7.40285,-0.99786,1.99787,-1.74999,117.339914,0.69864,131.6249,-22.61814,5.14153,-1.45572,0.48689,-0.14253,0.02464,-0.00175,3.03993,53.01293,-18.84468,1.1332,0.17176,-0.19909,0.07557,-0.01343,9.1e-4,-0.4697,-25.37078,-7.62788,3.45853,-1.06212,0.24588,-0.04247,0.00469,-2.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,210.718346,48.417717,1710.228614,0.663695,01:00:00,-0.746542,-0.360676,-0.559096,-71.925944,-11.694912,-50.262962,-0.232309,161.47836,-0.922263,-17.997303,0.922263,-0.308972,0.232309,14.1381,-13.433022,0.308972,-0.308972,-161.47836,13.433022,0.232309,17.997303,-14.1381,-0.232309,0.308972,0.922263,-0.922263
5,2026-01-15,15:18:57,2,1,"McGuire, Tommy",837561,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.35309,-2.081027,-2.379708,2544.965809,222.530441,01:30:00,5.99485,1.13103,6.22021,-21.52879,13.16855,11.03678,2.27802,-0.14637,81.57959,-6.142681,-0.387248,0.423955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.4,7.768,-0.95819,50,5.82819,4.94103,-129.676,-5.36366,-10.8627,27.93274,-18.98946,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,2fa6d410-f260-11f0-8f2d-39e75d6e7b88,88.90675,NA,NA,7.7735,NA,NA,NA,NA,NA,NA,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:18:57,2026-01-15T22:18:57Z,2026-01-15T22:18:57Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,bc75dd98-cbb2-43e5-90bb-ca2a1b771e76,54.27785,-130.59421,13.96637,5.99424,-4.73944,-9.49473,-1.12649,5.29811,-5.43135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,212.792964,44.786368,1806.259883,0.709738,01:00:00,-0.71422,-0.409725,-0.567463,-75.646803,-13.048358,-38.526804,-0.279382,153.810662,-0.861609,-25.072507,0.861609,-0.423765,0.279382,17.965583,-16.223294,0.423765,-0.423765,-153.810662,16.223294,0.279382,25.072507,-17.965583,-0.279382,0.423765,0.861609,-0.861609
6,2026-01-15,15:19:20,2,2,"McGuire, Tommy",837561,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,89.37386,-2.207114,-2.325809,2570.203759,216.310755,01:15:00,5.99752,1.25176,6.09775,-19.60832,15.32599,10.39879,2.31947,-0.03397,81.36243,-5.922104,-0.453091,0.4254,86.00404,-15.919033,-25.268017,NA,NA,NA,NA,9.29302,2.21686,-21.100048,0.065479,-6.06567,8.91441,-1.07815,50,5.81715,4.83951,-129.64812,-5.58266,-10.26303,28.60243,-17.09102,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,3dcf8dc0-f260-11f0-8f2d-39e75d6e7b88,88.60467,2.27006,NA,8.01143,NA,NA,NA,1.4724,2.27006,0.05189,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:19:20,2026-01-15T22:19:20Z,2026-01-15T22:19:20Z,GroundBall,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,020a3ade-0358-456f-84eb-6f3dbb87a9d3,54.4004,-130.61531,14.30122,5.99616,-5.00472,-8.54551,-1.24766,5.18656,-5.13152,NA,1.47003,109.92096,NA,NA,NA,NA,NA,NA,NA,2.27081,-34.66832,NA,NA,NA,NA,NA,NA,NA,0.05301,-51.88435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA,208.175805,47.257849,1744.397674,0.6787,01:00:00,-0.745214,-0.348514,-0.568502,-70.107273,-0.005161,-43.458313,-0.274104,161.745281,-0.913301,-17.53239,0.913301,-0.301245,0.274104,16.705776,-15.908612,0.301245,-0.301245,-161.745281,15.908612,0.274104,17.53239,-16.705776,-0.274104,0.301245,0.913301,-0.913301
7,2026-01-15,15:20:35,3,1,"McGuire, Tommy",837561,Right,GRA_CAN,"Schmidt, Trevor",808755,Left,GRA_CAN,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,85.03319,-1.2959,-2.30931,2514.922308,164.91078,11:30:00,5.83971,1.19858,5.94391,-37.00093,1.94508,-0.16807,1.55308,-0.95864,77.51984,-8.122061,-2.339523,0.449162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6237,1.81213,-1.01449,50,5.71589,4.98034,-123.33077,-4.03579,-0.951,26.83262,-29.41104,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,6a615030-f260-11f0-8f2d-39e75d6e7b88,83.91729,NA,NA,7.51336,NA,NA,NA,NA,NA,NA,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:20:35,2026-01-15T22:20:35Z,2026-01-15T22:20:35Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,dc040dc1-b102-4fd4-b64c-e3da5c783383,54.55332,-124.31747,13.41631,5.84441,-2.95428,-14.70552,-1.19828,5.01531,-0.4755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,224.136167,83.318416,292.615,0.116352,01:30:00,-0.993681,-0.103465,-0.0435,21.83731,-49.809017,-29.682376,0.557455,157.34098,-0.766127,18.652895,0.766127,-0.319834,-0.557455,36.040654,33.879957,0.319834,0.319834,-157.34098,-33.879957,0.557455,-18.652895,-36.040654,-0.557455,-0.319834,0.766127,-0.766127
8,2026-01-15,15:20:56,3,2,"McGuire, Tommy",837561,Right,GRA_CAN,"Schmidt, Trevor",808755,Left,GRA_CAN,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.62368,-2.399581,-1.99225,2519.057548,190.506168,12:15:00,5.93857,1.21424,6.01516,-32.54399,6.47504,0.96583,1.00113,-0.55149,77.61667,-8.413102,-1.818329,0.449583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07776,4.40024,-1.05854,50,5.73248,4.2335,-122.77949,-6.19076,-1.63824,25.26927,-25.48555,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,76e66c00-f260-11f0-8f2d-39e75d6e7b88,83.83868,NA,NA,7.00702,NA,NA,NA,NA,NA,NA,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:20:56,2026-01-15T22:20:56Z,2026-01-15T22:20:56Z,NA,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,025d0ee2-6832-433a-a518-a3c4ad00ae7e,54.48353,-123.6988,12.63463,5.94084,-5.26357,-12.74278,-1.21365,4.2931,-0.81912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,214.016097,81.387255,377.242192,0.149755,01:15:00,-0.988069,-0.1251,-0.089834,-5.792761,-59.10392,-4.148159,0.57852,160.288531,-0.767872,15.968663,0.767872,-0.275112,-0.57852,36.994606,35.346521,0.275112,0.275112,-160.288531,-35.346521,0.57852,-15.968663,-36.994606,-0.57852,-0.275112,0.767872,-0.767872
9,2026-01-15,15:21:15,3,3,"McGuire, Tommy",837561,Right,GRA_CAN,"Schmidt, Trevor",808755,Left,GRA_CAN,Undefined,1,Top,0,1,1,Sweeper,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,77.88217,-0.367476,-0.715259,2431.076433,100.394579,09:15:00,5.81182,1.19477,5.79129,-43.48959,2.78024,-7.18583,1.84582,-0.06944,71.59694,-8.357566,-2.004693,0.489576,66.12412,-14.393908,68.076924,NA,NA,NA,NA,10.03115,10.03115,50.005025,0.087868,3.50536,1.89205,-1.13138,50,5.75518,1.67222,-113.15914,-2.07809,4.53041,21.2749,-29.72869,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,8221a2b0-f260-11f0-8f2d-39e75d6e7b88,76.98994,2.12535,NA,6.28523,NA,NA,NA,3.35529,2.12535,0.00238,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:21:15,2026-01-15T22:21:15Z,2026-01-15T22:21:15Z,GroundBall,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,bd3afd48-f27f-4307-849b-58110bcc2755,54.70911,-114.04106,10.63745,5.81578,-0.84573,-14.86435,-1.1968,1.48442,2.26521,NA,3.35365,35.18861,NA,NA,NA,NA,NA,NA,NA,2.12648,-24.18812,NA,NA,NA,NA,NA,NA,NA,-0.00169,87.43266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,50.887071,72.131688,745.927883,0.30683,07:45:00,-0.950781,0.231962,0.205449,5.923694,41.120079,39.391539,-0.754467,118.318775,-0.311351,-35.295157,0.311351,-0.577789,0.754467,67.575175,-48.978828,0.577789,-0.577789,-118.318775,48.978828,0.754467,35.295157,-67.575175,-0.754467,0.577789,0.311351,-0.311351
10,2026-01-15,15:21:45,3,4,"McGuire, Tommy",837561,Right,GRA_CAN,"Schmidt, Trevor",808755,Left,GRA_CAN,Undefined,1,Top,0,1,2,Cutter,Slider,InPlay,Undefined,LineDrive,Single,1,1,NA,84.08155,-0.566663,-0.690355,2518.369547,91.093229,09:00:00,5.97617,0.92995,5.88933,-38.23006,1.35807,-5.09103,2.26412,-0.13534,77.06948,-7.609089,-1.605443,0.45285,96.3158,11.033838,20.171632,1709.966532,101.7241,10.66756,41.85874,174.38629,172.06173,24.089521,1.502362,2.42587,1.19992,-0.8713,50,5.90835,1.67068,-122.16311,-2.4826,3.65107,24.97778,-30.3681,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20260115-BrazellField-Private-1,94103e00-f260-11f0-8f2d-39e75d6e7b88,83.2339,11.30832,NA,7.01207,NA,NA,NA,2.20638,2.35528,0.13103,ccc86c02-42bb-4894-9c49-69c8548b09bb,2026-01-15,22:21:45,2026-01-15T22:21:45Z,2026-01-15T22:21:45Z,LineDrive,v3,5310,5310,NA,"Perez, Jaime",1000122545,Right,GRA_CAN,91448f86-16b6-439a-88f2-f066d122d02b,54.61042,-123.10216,12.48889,5.98022,-1.3409,-15.18405,-0.93153,1.53342,1.82553,278.238901,2.20636,130.1498,-22.34202,4.84262,-1.45153,0.60808,-0.17622,0.00178,0.00783,2.3553,27.03457,-21.8866,2.46967,-0.35263,-0.11158,0.07528,-0.00431,-0.00332,0.13107,47.80699,0.06535,-0.63331,0.82848,-0.76359,0.29805,-0.01751,-0.01068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,35.301828,86.585714,149.982185,0.059555,07:15:00,-0.997858,0.024542,0.060631,25.268486,-38.686945,-29.17351,0.651934,167.468631,-0.740211,9.469708,0.740211,-0.164526,-0.651934,41.371684,40.687595,0.164526,0.164526,-167.468631,-40.687595,0.651934,-9.469708,-41.371684,-0.651934,-0.164526,0.740211,-0.740211
