PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,2025-11-08,14:05:35,1,1,"Frey, Chase",833384,Left,GRA_CAN,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.9358,-1.266567,3.373332,1737.645624,150.900859,11:00:00,6.63932,-2.09209,5.81205,-18.25804,15.77757,-8.16445,3.93783,0.36795,82.88268,-4.7173,1.913816,0.419892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09292,8.72898,1.82013,50,6.52451,-7.40791,-131.81241,-3.48908,8.94704,28.40297,-16.83934,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,abf2ee50-bce6-11f0-9bf9-57cbcc003f7c,89.76689,NA,NA,8.05313,NA,NA,NA,NA,NA,NA,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:05:35,2025-11-08T21:05:35Z,2025-11-08T21:05:35Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,6df5fc2a-6e8e-4637-a2c8-2a64a09d5fe6,54.68492,-132.81808,14.20149,6.6375,-2.89284,-8.41967,2.08803,-7.7247,4.47352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,139.463649,-5.71264,1729.015843,0.995034,10:45:00,0.12957,0.648745,-0.749895,13.256324,-42.760442,54.152896,-0.048057,176.126022,-0.996562,-3.869496,0.996562,-0.067484,0.048057,2.76084,-2.754541,0.067484,-0.067484,-176.126022,2.754541,0.048057,3.869496,-2.76084,-0.048057,0.067484,0.996562,-0.996562
2,2025-11-08,14:05:55,1,2,"Frey, Chase",833384,Left,GRA_CAN,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,1,0,FourSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,90.66792,-3.451471,4.024962,1781.163647,130.731382,10:15:00,6.58328,-2.11737,5.84907,-20.89005,13.49442,-14.3254,1.6234,0.43513,82.72134,-7.359379,1.462177,0.422039,88.99042,33.905693,15.305145,3960.568539,104.03837,64.20059,35.72114,327.43901,296.70631,25.801968,4.952174,8.50524,8.24414,1.79819,50,6.28951,-8.61564,-131.15697,-8.60931,14.76116,28.68591,-17.86607,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,b78e9480-bce6-11f0-9bf9-57cbcc003f7c,89.31031,81.72006,NA,7.94657,NA,NA,NA,1.40136,1.70243,-0.45752,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:05:55,2025-11-08T21:05:55Z,2025-11-08T21:05:55Z,FlyBall,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,05d79401-14b5-4177-b7bf-536b8acf4e06,54.65003,-132.17008,14.34296,6.58243,-7.97833,-8.93304,2.11168,-9.13697,7.38058,214.044126,1.40657,104.36975,-20.24548,4.03002,-0.26684,-0.14874,0.04772,-0.00535,2e-4,1.70164,72.819,-18.57038,1.08515,-0.05872,-0.05372,0.02778,-0.00496,3e-4,-0.45635,28.57107,2.51531,-1.56622,0.52182,-0.1357,0.02709,-0.00328,1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,135.968073,-2.489301,1779.482851,0.999056,10:30:00,0.051961,0.695758,-0.716394,13.172024,-42.612507,66.366184,0.003164,179.99326,-0.999995,0.00674,0.999995,-1.18e-4,-0.003164,0.181276,0.181276,1.18e-4,1.18e-4,-179.99326,-0.181276,0.003164,-0.00674,-0.181276,-0.003164,-1.18e-4,0.999995,-0.999995
3,2025-11-08,14:06:31,2,1,"Frey, Chase",833384,Left,GRA_CAN,"Kirchner, Andrew",1000213090,Left,CAL_FUL,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.92106,-0.166995,3.245607,1804.033152,130.49284,10:15:00,6.65005,-2.38878,5.8163,-20.93698,13.04064,-13.99544,4.74978,-0.53406,82.86552,-4.10164,0.742195,0.419535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0028,7.02339,2.13094,50,6.62397,-6.85754,-131.87258,-1.0723800000000001,14.08449,28.19264,-19.81326,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,cd405250-bce6-11f0-9bf9-57cbcc003f7c,89.84342,NA,NA,8.05554,NA,NA,NA,NA,NA,NA,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:06:31,2025-11-08T21:06:31Z,2025-11-08T21:06:31Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,7d583f3e-b81b-4d77-b73b-b7189a35a65d,54.68147,-132.86965,14.09632,6.64951,-0.37166,-9.90663,2.38228,-7.35565,7.04224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,137.062406,-0.948975,1803.785713,0.999863,10:30:00,0.055996,0.681153,-0.729996,26.402032,-31.987577,54.010618,-0.095136,173.776729,-0.989598,-6.194933,0.989598,-0.10791100000000001,0.095136,5.491305,-5.459141,0.10791100000000001,-0.10791100000000001,-173.776729,5.459141,0.095136,6.194933,-5.491305,-0.095136,0.10791100000000001,0.989598,-0.989598
4,2025-11-08,14:06:50,2,2,"Frey, Chase",833384,Left,GRA_CAN,"Kirchner, Andrew",1000213090,Left,CAL_FUL,Undefined,1,Top,1,1,0,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,91.32169,-2.915866,3.78977,1817.805972,128.895331,10:15:00,6.50052,-2.36927,5.77827,-21.63497,12.02564,-13.61532,1.97619,0.02752,83.95987,-6.936203,1.356328,0.417573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92386,7.22126,2.06428,50,6.24609,-8.16629,-132.29185,-7.48884,14.11686,26.82147,-19.30892,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,d8801ce0-bce6-11f0-9bf9-57cbcc003f7c,90.26551,NA,NA,7.36181,NA,NA,NA,NA,NA,NA,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:06:50,2025-11-08T21:06:50Z,2025-11-08T21:06:50Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,671582db-5ed7-4a02-90f2-c721330670af,54.72097,-133.24556,13.41074,6.50017,-6.80225,-9.65446,2.36357,-8.66825,7.05843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,138.028522,-4.350214,1812.568944,0.997119,10:30:00,0.090741,0.669829,-0.73695,8.282155,-49.070351,68.38391,-0.019752,172.7024,-0.991706,-7.296168,0.991706,-0.126998,0.019752,1.141037,-1.131797,0.126998,-0.126998,-172.7024,1.131797,0.019752,7.296168,-1.141037,-0.019752,0.126998,0.991706,-0.991706
5,2025-11-08,14:07:11,2,3,"Frey, Chase",833384,Left,GRA_CAN,"Kirchner, Andrew",1000213090,Left,CAL_FUL,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,80.21302,0.49119,1.890554,2003.014854,269.193987,03:00:00,6.15851,-2.5787,5.32021,-42.69168,1.35784,6.80142,3.0621,-0.23706,74.21081,-7.267947,3.098124,0.477685,89.17649,3.224881,37.647933,4884.572846,NA,NA,NA,71.50046,69.14985,38.878107,0.569042,-2.95567,0.88583,2.40229,50,6.17175,-4.11442,-116.51704,-0.48081,-4.09186,20.45094,-30.94769,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,e512cd40-bce6-11f0-9bf9-57cbcc003f7c,78.90642,3.99052,NA,6.00221,NA,NA,NA,2.71049,3.44942,0.30438,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:07:11,2025-11-08T21:07:11Z,2025-11-08T21:07:11Z,GroundBall,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,8219bd55-03ae-4f9e-a02c-7c1e5f9fa627,55.18112,-117.4229,10.22547,6.16269,0.89,-15.47385,2.58053,-3.93318,-2.04593,NA,2.72948,102.94587,-17.498169999999998,NA,NA,NA,NA,NA,NA,3.47467,6.7606,-22.68469,NA,NA,NA,NA,NA,NA,0.29545,79.97578,-2.83642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,225.45483,-77.263891,441.586572,0.220461,01:30:00,0.978585,-0.165478,-0.12243,39.687386,-0.782896,-76.168509,0.619096,149.988421,-0.680024,23.128534,0.680024,-0.392795,-0.619096,42.31483,38.250138,0.392795,0.392795,-149.988421,-38.250138,0.619096,-23.128534,-42.31483,-0.619096,-0.392795,0.680024,-0.680024
6,2025-11-08,14:07:47,3,1,"Frey, Chase",833384,Left,GRA_CAN,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.00646,-1.230803,1.765919,1747.793547,145.097043,10:45:00,6.64436,-2.3093,5.78264,-18.8384,14.16757,-9.18268,3.92865,-1.43101,84.40487,-4.767306,0.121601,0.413492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1389,7.85741,2.16917,50,6.53148,-3.71283,-133.62556,-3.492,9.3332,27.58501,-17.90346,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,faa431d0-bce6-11f0-9bf9-57cbcc003f7c,91.15631,NA,NA,7.60158,NA,NA,NA,NA,NA,NA,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:07:47,2025-11-08T21:07:47Z,2025-11-08T21:07:47Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,c05a9645-fccb-41f0-9946-c56a90e18cbb,54.71584,-134.59556,13.79251,6.6432,-2.86244,-8.95173,2.3055,-4.04102,4.6666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,139.981391,-0.42065,1747.746444,0.999973,10:45:00,0.017131,0.643028,-0.765651,21.278906,-41.169225,53.634946,-0.00736,173.865141,-0.994246,-6.134692,0.994246,-0.106866,0.00736,0.42412,-0.421692,0.106866,-0.106866,-173.865141,0.421692,0.00736,6.134692,-0.42412,-0.00736,0.106866,0.994246,-0.994246
7,2025-11-08,14:08:06,3,2,"Frey, Chase",833384,Left,GRA_CAN,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.05076,-2.892935,2.513587,1784.544963,138.340171,10:30:00,6.62628,-2.33635,5.85328,-18.18903,14.81087,-12.26146,2.41765,-1.02112,84.49667,-6.306743,0.315712,0.413455,73.75817,58.001203,91.166587,7609.6993,NA,NA,NA,NA,14.81172,NA,NA,6.99741,8.6828,2.13951,50,6.38031,-5.339,-133.52839,-7.3424,12.67281,27.91439,-16.44884,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,05d70410-bce7-11f0-9bf9-57cbcc003f7c,91.16461,24.52147,NA,7.55409,NA,NA,NA,1.60692,2.23318,0.92877,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:08:06,2025-11-08T21:08:06Z,2025-11-08T21:08:06Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,a3786906-14d2-43fe-b0bc-ca6e46a1a112,54.64711,-134.49637,13.9572,6.62503,-6.772,-8.22442,2.33227,-5.77845,6.3364,327.260793,1.60871,-1.26022,-7.25984,NA,NA,NA,NA,NA,NA,2.23323,91.73976,-17.7005,NA,NA,NA,NA,NA,NA,0.93103,57.19518,-11.64009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,140.430286,1.153228,1784.183496,0.999797,10:45:00,-0.018394,0.63506,-0.772244,16.525888,-31.768894,61.425043,0.037901,176.551326,-0.997472,3.446193,0.997472,-0.060111,-0.037901,2.176009,2.172072,0.060111,0.060111,-176.551326,-2.172072,0.037901,-3.446193,-2.176009,-0.037901,-0.060111,0.997472,-0.997472
8,2025-11-08,14:08:31,3,3,"Frey, Chase",833384,Left,GRA_CAN,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,2,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.18938,-0.867881,2.574733,1669.282193,166.951953,11:30:00,6.79016,-2.17955,5.82362,-18.29655,15.52143,-3.34166,4.45772,-0.06274,83.0436,-4.328595,1.976703,0.418548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43102,8.4904,1.97089,50,6.70835,-5.7994,-132.2696,-2.57787,4.29505,28.92894,-17.17358,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,14711d30-bce7-11f0-9bf9-57cbcc003f7c,90.05526,NA,NA,8.14578,NA,NA,NA,NA,NA,NA,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:08:31,2025-11-08T21:08:31Z,2025-11-08T21:08:31Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,94afdc7b-1271-41ae-801e-89d76673fbcd,54.67286,-133.28769,14.46447,6.78844,-1.97348,-8.58679,2.17765,-5.95056,2.14753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,145.518777,-6.697591,1657.890268,0.993176,10:45:00,0.144767,0.563975,-0.813004,13.786982,-38.394832,60.696939,0.090026,176.321419,-0.993887,3.663624,0.993887,-0.063899,-0.090026,5.175693,5.165087,0.063899,0.063899,-176.321419,-5.165087,0.090026,-3.663624,-5.175693,-0.090026,-0.063899,0.993887,-0.993887
9,2025-11-08,14:08:52,3,4,"Frey, Chase",833384,Left,GRA_CAN,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,2,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.78007,-1.738866,1.604031,1747.956092,151.300227,11:00:00,6.66015,-2.33578,5.74053,-20.17812,13.8045,-6.98689,3.35841,-1.42408,83.33401,-5.511485,0.353559,0.419566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97406,7.81067,2.20659,50,6.50306,-3.38372,-131.80529,-4.67232,7.0203,26.91673,-18.37628,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,211ef6b0-bce7-11f0-9bf9-57cbcc003f7c,89.83683,NA,NA,7.44606,NA,NA,NA,NA,NA,NA,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:08:52,2025-11-08T21:08:52Z,2025-11-08T21:08:52Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,0f03e96c-6e45-4650-a716-06774bdca0d9,54.75764,-132.77332,13.45836,6.65922,-4.01144,-9.18814,2.33282,-3.63619,3.51015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,136.890289,-5.939155,1738.573656,0.994632,10:30:00,0.103092,0.682556,-0.723526,25.205813,-42.73024,58.936585,0.171728,178.674032,-0.984881,1.306266,0.984881,-0.022797,-0.171728,9.890885,9.888288,0.022797,0.022797,-178.674032,-9.888288,0.171728,-1.306266,-9.890885,-0.171728,-0.022797,0.984881,-0.984881
10,2025-11-08,14:09:14,3,5,"Frey, Chase",833384,Left,GRA_CAN,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,2,3,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.21773,-2.384394,2.567271,1793.555409,150.480267,11:00:00,6.55064,-2.39245,5.85287,-17.65076,15.98387,-8.44961,2.86074,-0.70957,83.56653,-5.712209,1.053396,0.417412,75.73498,49.509261,60.812176,4347.051366,NA,NA,NA,NA,64.07462,NA,NA,5.04181,9.15827,2.18885,50,6.3464,-5.57252,-132.32905,-6.06909,8.956,27.76279,-15.90574,GRA_CAN,CAL_FUL,BrazellField,TeamExclusive,Team,20251108-BrazellField-Private-2,2e9e02e0-bce7-11f0-9bf9-57cbcc003f7c,90.30038,67.59067,NA,7.6512,NA,NA,NA,1.21856,2.91206,0.44053,8dacb059-1c5c-4af3-a986-103d03ebb8a9,2025-11-08,21:09:14,2025-11-08T21:09:14Z,2025-11-08T21:09:14Z,NA,v3,5310,471254,NA,"Galvan, Marcus",821906,Right,GRA_CAN,68838e11-1693-45a9-bbea-0b6b0df51581,54.64651,-133.30033,13.88139,6.54899,-5.51263,-7.95287,2.38929,-5.88585,4.478,NA,1.21856,35.17415,-11.86599,3.39623,-1.03968,0.71505,-0.66036,0.36516,-0.07952,2.91206,84.4757,-22.32731,2.0174,-0.22644,-0.20729,0.28839,-0.16924,0.03748,0.44053,62.96752,-7.85801,1.63847,-0.3069,0.08384,-0.04691,0.02272,-0.00472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,141.905207,-4.196871,1788.745945,0.997318,10:45:00,0.08263,0.617822,-0.781964,16.451313,-46.936956,53.100291,-0.028929,168.478458,-0.97944,-11.516654,0.97944,-0.199653,0.028929,1.691796,-1.657725,0.199653,-0.199653,-168.478458,1.657725,0.028929,11.516654,-1.691796,-0.028929,0.199653,0.97944,-0.97944
