session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
7d1748cb-c279-4549-b124-8d6820b496de,30354b83-5df6-4815-b6d9-8345ee85b33b,VideoClip2,ManualCamera,ManualUpload,ManualVideo,NA,NA,https://res.cloudinary.com/pitchingcoachu/video/upload/v1768973029/0_vewhaa.mov,0_vewhaa,2026-01-21 05:23:51
c7d1a76f-bbcc-4182-9575-7cecba790ace,029ac185-c8aa-442c-bb08-49453779e538,VideoClip,,,EdgertronicVideos,Plays/029ac185-c8aa-442c-bb08-49453779e538/Edgertronic/70ce3c8c-dabe-4887-a705-e358d3673cc6.mov,0V6JS2hvDAiQ6HXUw6Dz3A==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412139/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/029ac185-c8a.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/029ac185-c8a,2026-02-06T21:55:16Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,0648bf0e-840b-4a43-b67b-9f4af243636b,VideoClip,1299,,EdgertronicVideos,Plays/0648bf0e-840b-4a43-b67b-9f4af243636b/Edgertronic/ead76d9c-c15b-4e7a-bb53-aebf3d9c4b49.mov,FsEISfA5VykIMka6uZ2onw==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412140/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/0648bf0e-840.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/0648bf0e-840,2026-02-06T21:55:16Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,0cb0bd30-7ee9-49d8-9b38-e50f15b5d503,VideoClip,1299,,EdgertronicVideos,Plays/0cb0bd30-7ee9-49d8-9b38-e50f15b5d503/Edgertronic/ddbe767a-b259-456d-afc5-d9e9b5b49141.mov,oJTwyU4AaHbkpwBPIAa3Ew==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412141/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/0cb0bd30-7ee.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/0cb0bd30-7ee,2026-02-06T21:55:16Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,0d2e6a9c-da02-4ee2-8fe8-897339024f30,VideoClip,,,EdgertronicVideos,Plays/0d2e6a9c-da02-4ee2-8fe8-897339024f30/Edgertronic/1a3e728f-98fb-4397-ac70-6e3688798c04.mov,rOKTciHOw1SZRKk+8kZo3A==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412142/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/0d2e6a9c-da0.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/0d2e6a9c-da0,2026-02-06T21:55:17Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,10821ede-222f-419b-802d-8a8d2e0b92e0,VideoClip,,,EdgertronicVideos,Plays/10821ede-222f-419b-802d-8a8d2e0b92e0/Edgertronic/fe606c24-a9ef-4ca3-a30f-8374ebb131cc.mov,WN0q3TdodrPM+x+UKFySkA==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412143/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/10821ede-222.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/10821ede-222,2026-02-06T21:55:17Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,18f61083-0177-4e68-8149-7dbfe65a8049,VideoClip,1299,,EdgertronicVideos,Plays/18f61083-0177-4e68-8149-7dbfe65a8049/Edgertronic/0d981a15-8741-4c8d-ab95-4ba7dbd3ee7a.mov,TUohGItQblIxNthlnsv86A==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412143/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/18f61083-017.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/18f61083-017,2026-02-06T21:55:17Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,233db7f6-ab0a-4557-91a6-06bd178f0117,VideoClip,1299,,EdgertronicVideos,Plays/233db7f6-ab0a-4557-91a6-06bd178f0117/Edgertronic/2aa3dd4d-8933-40a3-b0e4-fe28f845c5a1.mov,vz5quB6HhmaSi4tRyu/tow==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412145/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/233db7f6-ab0.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/233db7f6-ab0,2026-02-06T21:55:18Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,27e1089f-4b1b-414c-a3da-87a57e8a1b87,VideoClip,1299,,EdgertronicVideos,Plays/27e1089f-4b1b-414c-a3da-87a57e8a1b87/Edgertronic/c100b354-f599-4890-a5eb-0ec565925880.mov,DGBRBUQb6p/0+zYj8AHD4w==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412146/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/27e1089f-4b1.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/27e1089f-4b1,2026-02-06T21:55:18Z
c7d1a76f-bbcc-4182-9575-7cecba790ace,2f9d840f-7e46-4a95-b965-9459a971dddf,VideoClip,,,EdgertronicVideos,Plays/2f9d840f-7e46-4a95-b965-9459a971dddf/Edgertronic/6e01e6e1-7006-4159-bcf2-cf05cee70a59.mov,oT6/MezrHkeIGCeNyc/RyQ==,https://res.cloudinary.com/pitchingcoachu/video/upload/v1770412147/trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/2f9d840f-7e4.mov,trackman/c7d1a76f-bbcc-4182-9575-7cecba790ace/VideoClip/2f9d840f-7e4,2026-02-06T21:55:18Z
